SPU,包装尺寸,包装实重(KGS),Shipping Cost ($)
ALDRIDGE FROSTED GREEN,58.00*52.00*56.00,15.0,15.37772
ALDRIDGE FROSTED GREY,58.00*52.00*56.00,15.0,15.37772
ALDRIDGE FROSTED ROSE,58.00*52.00*56.00,15.0,15.37772
ARALIA GREEN,69.00*54.00*52.00,12.7,18.3494696
ARALIA GREY,69.00*54.00*52.00,12.7,18.3494696
BATASSEL VELVET DBLUE Ⅰ,57.00*53.00*48.50,13.5,19.054948
BATASSEL VELVET GREY Ⅰ,57.00*53.00*48.50,13.5,19.054948
BATASSEL VELVET GREY Ⅰ,57.00*53.00*48.50,13.5,19.054948
Cambodia grey,53.00*93.00*36.00,7.8,11.028414399999999
Cambodia indigo,53.00*93.00*36.00,7.8,11.028414399999999
Cambodia merlot,53.00*93.00*36.00,7.8,11.028414399999999
Cambodia midnight,53.00*93.00*36.00,7.8,11.028414399999999
CAPE PINK,72.00*66.00*53.00,10.8,16.6739584
CAPE YELLOW,72.00*66.00*53.00,10.8,16.6739584
CHANDLER YELLOW,62.00*57.00*47.00,13.5,19.054948
CHARLES BROWN,46.00*68.00*52.00,10.1,16.0566648
CHARLES CHARCOAL,46.00*68.00*52.00,10.1,16.0566648
CHARLTON SUEDE BROWN SY,59.00*50.00*68.00,22.2,21.7270256
CHARLTON SUEDE NL 4PCS,56.50*45.00*65.50,18.7,18.640557599999998
CHARLTON TERRY FABRIC BLUE,59.00*50.00*68.00,21.2,20.8451776
CHARLTON TERRY FABRIC GREEN,59.00*50.00*68.00,21.2,20.8451776
CHARLTON TERRY FABRIC GREY,59.00*50.00*68.00,21.2,20.8451776
CHARLTON TERRY FABRIC GREY,59.00*50.00*68.00,21.2,20.8451776
CHARLTON TERRY FABRIC YELLOW,59.00*50.00*68.00,21.2,20.8451776
CHARLTON VINTAGE A LMKZ,59.00*50.00*68.00,22.3,21.815210399999998
CHARLTON VINTAGE B,58.00*49.00*68.00,20.5,20.227884
COFFEY GREY,77.00*46.00*35.00,10.8,16.6739584
CROMWELL VELVET YELLOW Ⅰ,67.00*34.00*59.00,8.0,11.204784
CROMWELL VINTAGE BLACK LEG Ⅰ,67.00*34.00*59.00,8.0,11.204784
CROMWELL YELLOW 2PCS SD,62.00*56.50*44.50,12.8,18.4376544
CRW-DC001 IVORY,55.00*75.00*52.00,11.1,16.9385128
CRW-DC002 CHARCOAL,55.00*75.00*52.00,11.1,16.9385128
CRW-DC003 AGATE,55.00*75.00*52.00,11.1,16.9385128
DONCIC DINING BROWN SUEDE BLACK GOLD LEG,70.00*40.00*58.00,12.0,17.732176
DONCIC DINING BROWN SUEDE BLACK GOLD LEG,70.00*40.00*58.00,12.0,17.732176
FAWN PINK VELVET,100.50*38.00*45.50,15.7,15.9950136
FAWN TAUPE A,101.00*34.00*43.00,10.0,15.96848
FAWN TAUPE VELVET,100.50*38.00*45.50,15.7,15.9950136
FELICIO CORDUROY RED,55.00*49.00*51.50,13.0,18.614024
FERRELL KHAKI,64.50*53.00*60.00,16.05,16.3036604
FRANKFURT BLACK 4PCS Ⅱ,64.00*63.00*51.00,21.4,21.0215472
FRANKFURT GREY 4PCS Ⅱ,64.00*63.00*51.00,21.4,21.0215472
FRANKFURT WHITE 4PCS Ⅱ,64.00*63.00*51.00,21.4,21.0215472
GENOVA FABRIC GREY 2PCS,69.00*51.00*38.00,13.5,19.054948
JULE GREEN Ⅰ,71.00*52.50*51.00,12.0,17.732176
JULE ROSE Ⅰ,71.00*52.50*51.00,12.0,17.732176
KAROMI KD,52.00*48.00*28.00,11.75,17.511714
KAROMI PU BLACK,95.00*46.00*26.00,7.0,10.322935999999999
KAROMI PU BLACK,95.00*46.00*26.00,7.0,10.322935999999999
KAROMI VINTAGE A,95.00*46.00*26.00,7.0,10.322935999999999
KAROMI VINTAGE A KD,52.00*48.00*28.00,11.75,17.511714
KAROMI VINTAGE B,95.00*46.00*26.00,7.0,10.322935999999999
KOM-DC001 COGNAC,46.00*95.00*26.00,12.3,17.9967304
KRICOX BLACK 2PCS,50.00*48.00*58.00,10.7,16.5857736
KRICOX BLACK DINING CHAIR,49.00*44.00*14.20,4.4,8.0301312
KRICOX GUN 2PCS,50.00*48.00*58.00,10.7,16.5857736
KRICOX RED 2PCS,50.00*48.00*58.00,10.7,16.5857736
KRICOX RED 4PCS,50.00*48.00*85.00,20.2,19.963329599999998
KRICOX SILVER 2PCS,50.00*48.00*58.00,10.7,16.5857736
KRICOX SILVER WOOD DINING CHAIR 4PCS,50.00*48.00*85.00,21.2,20.8451776
KRICOX WHITE 2PCS,50.00*48.00*58.00,10.7,16.5857736
KRICOX WHITE 4PCS,50.00*48.00*85.00,20.2,19.963329599999998
LAMB DIM GREY PU 2PCS,68.00*55.50*57.00,15.6,15.9068288
LARIA BROWN Ⅱ,69.00*58.00*48.00,21.0,20.668808
LARONDA ANTHRACITE,71.00*61.00*57.50,18.0,18.023263999999998
LARONDA BEIGE,71.00*61.00*57.50,18.0,18.023263999999998
LARONDA GREY,71.00*61.00*57.50,18.0,18.023263999999998
LOWE BK,89.00*36.00*49.00,14.0,14.495871999999999
LOWE DG,89.00*36.00*49.00,14.0,14.495871999999999
LOWE GR,89.00*36.00*49.00,14.0,14.495871999999999
LOWE NB,89.00*36.00*49.00,14.0,14.495871999999999
LUCETTA BEIGE,97.00*35.00*46.00,13.5,19.054948
LUCETTA BLACK,97.00*35.00*46.00,13.5,19.054948
LUCETTA GREEN,97.00*35.00*46.00,13.5,19.054948
LUCETTA GREY,97.00*35.00*46.00,13.5,19.054948
LUJAN GINGER,78.00*57.00*53.00,20.0,19.78696
LUJAN GREY,78.00*57.00*53.00,20.0,19.78696
MBAYE VELVET GREY,72.00*35.00*61.00,8.6,11.7338928
MOSAN GUN 2PCS,50.00*48.00*58.00,10.7,16.5857736
NATHANIA GREY,103.00*30.00*50.00,15.0,15.37772
NATHANIA OATMEAL,103.00*30.00*50.00,15.0,15.37772
PUZ-DC001 ALOE,65.00*63.50*52.00,11.0,16.850328
PUZ-DC002 BISCUIT,65.00*63.50*52.00,11.0,16.850328
PUZZLE DARK GREY,70.00*51.00*55.00,12.08,17.80272384
PUZZLE DARK GREY,70.00*51.00*55.00,12.08,17.80272384
PUZZLE MUSTARD YELLOW,70.00*56.00*50.00,12.08,17.80272384
PUZZLE NAVY BLUE,70.00*51.00*55.00,12.08,17.80272384
PUZZLE ORANGE,70.00*51.00*55.00,12.08,17.80272384
PUZZLE ORANGE,70.00*51.00*55.00,12.08,17.80272384
RABIOT ARM GREY,62.00*56.00*56.00,11.7,17.467621599999998
RABIOT ARM YELLOW,62.00*56.00*56.00,12.0,17.732176
RABIOT BLUE A,64.00*53.00*58.00,15.5,15.818643999999999
RABIOT FABRIC GREY,64.00*53.00*58.00,15.5,15.818643999999999
RABIOT GREY A,64.00*53.00*58.00,15.5,15.818643999999999
RABIOT PINK A,64.00*53.00*58.00,15.5,15.818643999999999
RICO WHITE 6PCS A,58.00*46.00*53.00,26.2,20.254417599999996
ROSANNE BEIGE,105.00*36.00*50.50,17.85,17.8909868
SAFARI DBLUE,65.00*51.00*52.50,11.4,17.2030672
SAFARI GREY,65.00*51.00*52.50,11.4,17.2030672
SAFARI GREY A,65.00*51.00*52.50,11.4,17.2030672
SAFARI YELLOW,65.00*51.00*52.50,11.4,17.2030672
SCARGILL BEIGE,67.00*50.00*55.00,22.2,21.7270256
SCARGILL BEIGE,67.00*50.00*55.00,22.2,21.7270256
SCARGILL BLUE,67.00*50.00*55.00,22.2,21.7270256
SCARGILL DARK GREY Ⅰ,67.00*50.00*55.00,22.2,21.7270256
SCARGILL DINING BLUE VELVET BLACK LEG,67.00*50.00*55.00,22.5,21.99158
SCARGILL DINING GREEN VELVET BLACK LEG,67.00*50.00*55.00,22.5,21.99158
SCARGILL DINING GREY VELVET BLACK LEG,67.00*50.00*55.00,22.5,21.99158
SCARGILL DINING ROSE VELVET BLACK LEG,67.00*50.00*55.00,22.5,21.99158
SCARGILL DINING YELLOW TERRY GOLD LEG A,67.00*50.00*55.00,22.5,21.99158
SCARGILL FROSTED VELVET GREEN,68.00*49.00*53.00,22.5,21.99158
SCARGILL FROSTED VELVET GREY,68.00*49.00*53.00,22.5,21.99158
SCARGILL YELLOW,67.00*50.00*55.00,20.4,20.1396992
SMEG COGNAC PU BLACK GOLD LEG,56.00*48.00*51.50,12.3,17.9967304
SMEG DARK BLUE,56.00*55.50*53.50,13.35,18.9226708
SMEG DARK BLUE A,56.00*48.00*51.50,12.3,17.9967304
SMEG DARK BROWN PU BLACK GOLD LEG,56.00*48.00*51.50,12.3,17.9967304
SMEG DINING BROWN LEATHAIRE BLACK GOLD LEG,56.00*48.00*51.50,12.3,17.9967304
SMEG DINING CHARCOAL LEATHAIRE BLACK GOLD LEG,56.00*48.00*51.50,12.3,17.9967304
SMEG GREEN OAK LEG A,56.00*48.00*51.50,12.3,17.9967304
SMEG GREY PU BLACK GOLD LEG,56.00*48.00*51.50,12.3,17.9967304
SMEG GREY PU BLACK GOLD LEG,56.00*48.00*51.50,12.3,17.9967304
SMEG TIAANIUM 32MM A,56.00*48.00*51.50,12.3,17.9967304
SMEG TIAANIUM 32MM FROESTED BLUE,56.00*48.00*52.00,12.3,17.9967304
SMEG TIAANIUM 32MM FROESTED GREEN,56.00*48.00*52.00,12.3,17.9967304
SMEG TIAANIUM 32MM FROESTED GREY,56.00*48.00*52.00,12.3,17.9967304
SMEG TIAANIUM 32MM GREY LMKZ,56.00*55.50*53.50,13.1,18.7022088
SMEG TIAANIUM 32MM LMKZ,56.00*55.50*53.50,13.1,18.7022088
SMEG TIAANIUM 32MM ROSE LMKZ,56.00*55.50*53.50,13.1,18.7022088
SMEG YELLOW A,56.00*48.00*51.50,12.3,17.9967304
STEFFEN BROWN,84.00*55.00*53.00,17.9,17.9350792
STEFFEN GREY,84.00*55.00*53.00,17.9,17.9350792
STOCKER BEIGE,80.00*55.00*53.50,17.0,17.141416
STOCKER BLUE,80.00*55.00*53.50,17.0,17.141416
STOCKER PINK,80.00*55.00*53.50,17.0,17.141416
STOLZ BLUSH BLACK LEG,63.00*56.00*76.50,17.1,17.2296008
SUVA YELLOW 4PCS,72.00*56.00*52.50,22.0,21.550656
WILONA GERY,114.00*41.00*50.50,18.6,18.5523728
ZANKA BLACK GOLD LEG,67.00*59.00*52.00,10.0,15.96848
ZANKA BLUE GOLD LEG,67.00*59.00*52.00,10.0,15.96848
ZANKA GREY GOLD LEG,67.00*59.00*52.00,10.0,15.96848
ZOMBA BLUE VELVET DIAMOND KD METAL SY,51.00*46.00*52.00,12.5,18.1731
ZOMBA GOLD+PINK,56.00*56.00*57.50,10.95,16.806235599999997
ZOMBA GREY VELVET BLACK GOLD LEG,53.00*46.00*51.00,12.5,18.1731
ZOMBA GREY VELVET DIAMOND KD METAL SY,51.00*46.00*52.00,13.0,18.614024
ZOMBA GREY VELVET DIAMOND KD METAL SY,51.00*46.00*52.00,13.0,18.614024
ZOMBA ROSE VELVET DIAMOND KD METAL SY,51.00*46.00*52.00,13.0,18.614024
ZOMBA TERRY FABRIC BLUE,51.00*46.00*52.00,12.3,17.9967304
ZOMBA TERRY FABRIC GREEN,51.00*46.00*52.00,12.3,17.9967304
ZOMBA TERRY FABRIC GREY,51.00*46.00*52.00,12.3,17.9967304
ZOMBA TERRY FABRIC GREY,51.00*46.00*52.00,12.3,17.9967304
ZOMBA VELVET AQUA BLACK LEG A,51.00*46.00*52.00,15.0,15.37772
ZOMBA VELVET NAVYBLUE BLACK LEG A,51.00*46.00*52.00,15.0,15.37772
MAGALLANES BEECH,91.00*89.00*14.00,27.0,20.959896
MAGALLANES LMKZ,91.00*89.00*14.00,27.0,20.959896
UNATHI,21.00*131.00*78.00,32.5,25.81006
AMANDA,187.00*106.00*13.00,42.0,34.187616
BARI BLACK,113.50*75.00*8.00,25.2,19.3725696
BARI BLACK,113.50*75.00*8.00,25.2,19.3725696
BRANDT BLACK LEG A,167.50*96.00*8.50,24.93,19.13447064
BRANDT MARBLE GOLD LEG 120,130.00*80.00*10.00,18.5,18.464188
BRANDT WALNUT BLACK LEG 120,130.00*80.00*10.00,18.5,18.464188
BRANDT WALNUT BLACK LEG 140,158.00*89.00*10.00,24.0,18.314351999999996
BRANDT WALNUT BLACK LEG 140,158.00*89.00*10.00,24.0,18.314351999999996
CHAD QS BLACK,88.00*88.00*9.50,11.0,16.850328
CURRENCY Ⅰ,131.50*77.50*10.50,18.45,18.4200956
CURRENCY Ⅰ,134.00*80.00*11.50,18.5,18.464188
CURRENCY MARBLE ROUND TOP80 B,91.00*87.00*11.00,10.83,16.70041384
CURRENCY ROUND TOP80 B,91.00*87.00*11.00,10.83,16.70041384
HYLDA,109.00*100.00*16.50,21.85,21.4183788
ROOKIE 110 ROUND LEG Ⅳ,120.00*80.00*9.00,18.0,18.023263999999998
ROOKIE ROUND LEG 110 Ⅰ,118.00*77.00*12.50,15.0,15.37772
ROOKIE ROUND LEG 110 Ⅰ / ROOKIE 110 ROUND LEG Ⅳ,118.00*77.00*12.50,15.0,15.37772
ROOKIE ROUND LEG 120 GREY A,128.00*85.50*14.00,19.15,19.0373892
ROOKIE SQUARE TABLE WHITE,87.00*87.00*15.00,11.0,16.850328
SLIP GLASS Ⅰ,132.00*90.00*13.00,31.8,25.1927664
SLIP GLASS Ⅰ/ SLIP GLASS GOLD LEG 120,133.00*90.00*10.50,28.9,22.6354072
SLIP GLASS BLACK LEG 120,133.00*90.00*10.50,28.9,22.6354072
SLIP GLASS GOLD LEG 120,133.00*90.00*10.50,28.9,22.6354072
SLIP GLASS GOLD LEG 140,153.00*88.00*9.00,31.3,24.7518424
WHALEN YMSX,133.00*76.00*13.00,18.4,18.3760032
UHTRIC,13.50*79.00*44.00,12.5,18.1731
AURORA SIDE BOARD A,134.00*65.50*23.00,37.0,29.778375999999998
BEBOU SIDE BOARD LOW,149.00*50.00*15.00,32.7,25.9864296
GRAVES SOLO DARK GREY STARS,58.00*49.00*20.00,7.4,10.6756752
OPPELT OAK,162.00*57.00*15.00,40.95,33.261675600000004
PYTHIA OAK,122.00*47.00*23.00,38.5,31.101147999999995
QUELINA OAK,120.00*48.00*22.00,35.8,28.7201584
QUERALT OAK,120.00*58.00*12.00,22.7,17.167949599999996
RICHTER WHITE,97.00*76.00*17.00,24.5,18.755276
TANEKA CABINET GREY,78.00*52.00*25.00,17.5,17.582340000000002
TANEKA CABINET WHITE,78.00*52.00*25.00,17.5,17.582340000000002
TANEKA GREY,106.00*55.00*33.00,38.5,31.101147999999995
URFER,16.00*81.50*40.00,17.0,17.141416
VOLD,91.00*45.50*19.50,24.5,18.755276
ARLETTE OAK,104.50*82.20*10.00,19.6,19.434220800000002
BELSON BLACK B,111.50*49.50*12.50,15.8,16.0831984
BLACKBURN LMKZ,118.00*65.00*12.00,21.0,20.668808
BRANTLEY OAK,152.00*67.00*15.00,32.5,25.81006
BRANTLEY WALNUT,152.00*67.00*15.00,32.5,25.81006
BRENTON,127.00*67.00*11.50,22.5,21.99158
DEMBE KD 140CM FABRIC BLACK WHITE,148.50*65.70*5.90,15.64,15.942102720000001
DROGBA Ⅰ,133.50*59.00*16.50,22.5,21.99158
DROGBA BLACK Ⅰ,133.50*59.00*16.50,22.5,21.99158
ELMO OAK A,132.00*68.50*9.50,14.0,14.495871999999999
ELMO OAK B,133.00*68.00*12.00,15.6,15.9068288
ELMO OAK D,130.00*68.00*10.50,15.0,15.37772
FORT BIRCH JM LMKZ,129.00*68.50*15.00,21.5,21.109732
FORT WALNUT JM LMKZ,129.00*68.50*15.00,21.5,21.109732
GUDURIC TARRANT A,110.00*75.00*7.50,11.5,17.291252
HABIBI DESK A,92.00*59.00*7.50,10.1,16.0566648
HARPER E,107.00*73.50*6.50,11.5,17.291252
LYNDA-A 246T,127.50*85.00*13.00,19.1,18.9932968
MADDIE LMKZ,98.00*58.00*13.00,16.22,16.45357456
MCGHEE DARK GREY PLUS,129.50*55.00*13.00,17.5,17.582340000000002
MCGHEE DGREY,130.00*74.60*8.00,16.5,16.700492
MEGAN TABLE BROWN D,114.50*86.50*5.00,11.25,17.07079
MIDTOWN,126.00*65.00*12.00,27.0,20.959896
OSMIN GREEN,124.00*74.00*22.00,22.0,21.550656
PARCA BLUE,131.00*66.00*32.00,31.25,24.70775
PARCA GREY,131.00*66.00*32.00,31.25,24.70775
PARCA WHITE,131.00*66.00*32.00,31.25,24.70775
PHELPS WALNUT,143.00*56.00*16.50,26.5,20.518971999999998
POUCHU 246T,123.00*55.00*11.50,14.35,14.804518799999999
POUCHU OAK,123.00*55.00*11.50,16.14,16.38302672
ROGER BLACK,121.00*76.00*9.00,26.2,20.254417599999996
SOLEIL,122.00*66.50*22.00,23.0,17.432503999999998
TASMAN OAK D,136.00*67.00*7.00,13.0,18.614024
TASMAN OAK E,132.00*69.00*8.50,14.55,14.980888400000001
TULIPS A,123.00*58.00*18.50,26.5,20.518971999999998
TULIPS B,126.00*57.50*17.50,24.5,18.755276
ULTRON DESK,106.00*48.00*13.00,14.5,14.936796
ULTRON DESK WALNUT,106.00*48.00*13.00,14.5,14.936796
WASTON WALNUT,97.00*52.50*13.00,16.5,16.700492
YEDDA COMPUTER DESK A,133.50*52.50*18.00,18.0,18.023263999999998
ZEN DESK,131.00*67.00*12.00,15.0,15.37772
ADAMS BLACK,76.00*30.00*59.00,10.8,16.6739584
ADAMS BLACK,76.00*30.00*59.00,10.8,16.6739584
ADAMS BROWN,76.00*30.00*59.00,10.8,16.6739584
ALLEGRI,59.00*28.00*59.00,11.5,17.291252
AMOS CHAIR,71.00*35.00*65.00,18.0,18.023263999999998
BLOKHUS BLACK RF LMKZ,69.00*28.00*52.00,7.6,10.852044799999998
BLOKHUS BLACK RF LMKZ,69.00*28.00*52.00,7.6,10.852044799999998
BLOKHUS BLUE RF,69.00*28.00*52.00,7.6,10.852044799999998
BLOKHUS LIGHT GREY,69.00*28.00*52.00,7.6,10.852044799999998
BRIGID BEIGE,77.00*65.00*45.00,22.7,17.167949599999996
CARNATION BLUE,46.00*18.50*44.50,5.7,9.176533599999999
CARNATION BLUE PLICA,46.00*18.50*44.50,5.7,9.176533599999999
CARNATION GREY,46.00*18.50*44.50,5.7,9.176533599999999
CARNATION PINK V1,46.00*18.50*44.50,5.7,9.176533599999999
CARNATION ROSE,46.00*18.50*44.50,5.7,9.176533599999999
CARNATION TURQUOISE,47.00*19.00*46.00,5.87,9.32644776
CARNATION TURQUOISE,47.00*19.00*46.00,5.87,9.32644776
CARNATION TURQUOISE Ⅰ,48.00*19.00*46.00,6.03,9.46754344
CIAN BLUE Ⅰ,67.00*39.00*55.00,8.5,11.645707999999999
CIAN GREEN Ⅰ,67.00*39.00*55.00,7.8,11.028414399999999
CIAN GREY Ⅰ,67.00*39.00*55.00,8.5,11.645707999999999
CIAN ROSE Ⅰ,67.00*39.00*55.00,8.5,11.645707999999999
CLARISSA DARK BLUE,52.00*58.00*41.00,8.5,11.645707999999999
DEWITT,86.00*32.00*65.00,16.0,16.259567999999998
DUDLEY DBLUE,64.00*32.00*56.00,8.0,11.204784
DUDLEY YELLOW,64.00*32.00*56.00,8.0,11.204784
DUDLEY YELLOW,64.00*32.00*56.00,8.0,11.204784
FAVORS BLUE,46.00*18.50*44.50,6.0,9.441087999999999
HIGOS PU BLACK RF,68.00*28.00*52.00,8.2,11.3811536
IWC PURPLE,50.00*15.00*47.50,5.3,8.823794399999999
IWC TURQUOISE,50.00*15.00*47.50,5.3,8.823794399999999
JAREN DARK BLUE,75.00*67.50*65.00,12.5,18.1731
JAREN GINGER,75.00*67.50*65.00,12.5,18.1731
JAREN GREEN,75.00*67.50*65.00,12.5,18.1731
MAKER PRINTING FABRIC,72.00*35.00*56.00,9.8,15.7921104
MATTHEWS VELVET GREY,61.00*60.50*43.00,10.7,16.5857736
MENDEZ DARK BLUE,55.00*53.00*43.00,8.3,11.4693384
MOORISH GREY,69.00*52.00*28.00,7.6,10.852044799999998
NACHI GINGER FELLCE,78.00*61.00*42.00,12.5,18.1731
NACHI GREEN FELLCE,78.00*61.00*42.00,12.5,18.1731
NACHI GREY FELLCE,127.00*54.61*10.16,12.5,18.1731
REDAN PINK,81.00*47.00*67.00,16.9,17.0532312
RENEE,69.00*66.00*40.00,21.1,20.756992800000003
ROSS CHROME VELVET CACTUS,64.00*35.00*56.00,10.2,16.1448496
ROSS CHROME VELVET GREY,64.00*35.00*56.00,10.4,16.3212192
ROSS CHROME VELVET ROSE,64.00*35.00*56.00,10.4,16.3212192
TUNNEY BLUE LMKZ,78.00*29.00*60.00,15.7,15.9950136
TUNNEY WHITE LMKZ,78.00*29.00*60.00,15.7,15.9950136
ZAK YKC,62.00*31.00*59.00,15.0,15.37772
BETTIE DAY BED,106*26*16.5,20.0,19.78696
BETTIE DAY BED,106.00*26.00*16.50,20.0,19.78696
GOBERT FULL,164.00*72.50*17.00,23.8,18.1379824
GOBERT FULL,164.00*72.50*17.00,23.8,18.1379824
GOBERT FULL WHITE,164.00*72.50*17.00,23.8,18.1379824
GOBERT QUEEN,180.00*72.50*17.00,26.2,20.254417599999996
GOBERT QUEEN,180.00*72.50*17.00,26.2,20.254417599999996
GOBERT QUEEN WHITE,180.00*72.50*17.00,26.2,20.254417599999996
MANGOLD TWIMW LMKZ,108.00*31.00*17.50,23.0,17.432503999999998
MANGOLD TWIMW LMKZ,108.00*31.00*17.50,23.0,17.432503999999998
MIYE FULL GOLD,146.00*54.00*8.00,20.8,20.4924384
SOROSIS FROSTED BLACK GF TWIN,108.00*28.00*20.00,23.5,17.873428
SOROSIS FROSTED BLACK GF TWIN,108.00*28.00*20.00,23.5,17.873428
ADY WALNUT,77.00*38.00*15.00,5.0,8.559239999999999
OFORI NIGHT STAND,70.50*52.50*14.00,11.0,16.850328
